time,crank_v,pressure_v,state,rel_crank_ang,pressure_bar
0.29156,9.924554,-0.21887,nan,168.25065274151436,-2.232474
0.29158,0.19953,-0.220844,nan,168.5639686684073,-2.2526088
0.2916,0.198872,-0.218213,nan,168.87728459530027,-2.2257725999999995
0.29162,9.879489,-0.219528,nan,169.1906005221932,-2.2391856
0.29164,0.200517,-0.220515,nan,169.50391644908615,-2.249253
0.29166,0.198872,-0.219199,nan,169.8172323759791,-2.2358298
0.29168,9.796594,-0.220844,nan,170.13054830287206,-2.2526088
0.2917,5.977254,-0.220844,nan,170.443864229765,-2.2526088
0.29172,0.198872,-0.219528,nan,170.75718015665797,-2.2391856
0.29174,9.646924,-0.21887,nan,171.07049608355092,-2.232474
0.29176,9.873568,-0.220186,nan,171.38381201044385,-2.2458972
0.29178,0.199201,-0.218213,nan,171.6971279373368,-2.2257725999999995
0.2918,9.21798,-0.218213,nan,172.01044386422976,-2.2257725999999995
0.29182,9.977186,-0.217555,nan,172.3237597911227,-2.219061
0.29184,0.19953,-0.220186,nan,172.63707571801567,-2.2458972
0.29186,7.679844,-0.218541,nan,172.95039164490862,-2.2291182
0.29188,9.948896,-0.219857,nan,173.26370757180155,-2.2425414
0.2919,0.199859,-0.219528,nan,173.5770234986945,-2.2391856
0.29192,0.414323,-0.219528,nan,173.89033942558746,-2.2391856
0.29194,9.89166,-0.220515,nan,174.2036553524804,-2.249253
0.29196,0.199859,-0.217884,nan,174.51697127937337,-2.2224168
0.29198,0.19953,-0.219528,nan,174.83028720626632,-2.2391856
0.292,9.839686,-0.216568,nan,175.14360313315927,-2.2089936
0.29202,0.63668,-0.221502,nan,175.4569190600522,-2.2593204
0.29204,0.199201,-0.218213,nan,175.77023498694516,-2.2257725999999995
0.29206,9.711397,-0.220515,nan,176.0835509138381,-2.249253
0.29208,9.915344,-0.217226,nan,176.39686684073106,-2.2157052
0.2921,0.199859,-0.220515,nan,176.71018276762402,-2.249253
0.29212,9.246598,-0.217884,nan,177.02349869451697,-2.2224168
0.29214,9.894291,-0.219528,nan,177.33681462140993,-2.2391856
0.29216,0.19953,-0.21887,nan,177.65013054830285,-2.232474
0.29218,8.178848,-0.219857,nan,177.9634464751958,-2.2425414
0.2922,9.894949,-0.217555,nan,178.27676240208876,-2.219061
0.29222,0.199201,-0.219528,nan,178.59007832898172,-2.2391856
0.29224,5.030574,-0.219857,nan,178.90339425587467,-2.2425414
0.29226,9.881133,-0.21887,nan,179.21671018276763,-2.232474
0.29228,0.199859,-0.218541,nan,179.53002610966058,-2.2291182
0.2923,0.198872,-0.217555,nan,179.8433420365535,-2.219061
0.29232,9.849226,-0.21887,nan,180.15665796344646,-2.232474
0.29234,0.200517,-0.217555,nan,180.46997389033942,-2.219061
0.29236,0.199201,-0.219199,nan,180.78328981723237,-2.2358298
0.29238,0.198872,-0.218541,nan,181.09660574412533,-2.2291182
0.2924,0.198872,-0.219199,nan,181.40992167101828,-2.2358298
0.29242,9.832121,-0.218541,nan,181.7232375979112,-2.2291182
0.29244,9.929489,-0.21887,nan,182.03655352480416,-2.232474
0.29246,9.937712,-0.218541,nan,182.34986945169712,-2.2291182
0.29248,0.200846,-0.218213,nan,182.66318537859007,-2.2257725999999995
0.2925,9.119625,-0.219199,nan,182.97650130548303,-2.2358298
0.29252,9.909752,-0.219528,nan,183.28981723237598,-2.2391856
0.29254,0.199201,-0.218541,nan,183.60313315926894,-2.2291182
0.29256,7.144658,-0.219857,nan,183.91644908616186,-2.2425414
0.29258,9.899226,-0.21887,nan,184.22976501305482,-2.232474
0.2926,0.199859,-0.217226,nan,184.54308093994777,-2.2157052
0.29262,0.198215,-0.21887,nan,184.85639686684073,-2.232474
0.29264,9.883765,-0.217555,nan,185.16971279373368,-2.219061
0.29266,0.200517,-0.217555,nan,185.48302872062663,-2.219061
